claim_text,source_file,source_cell_or_row,value
Aligned daily panel size,returns_real.csv (via _pit_real.csv row count + AR burn-in),n rows,"3004 pre-PIT, 3003 post AR(1) burn-in"
"Cedi cross-check, raw: level corr",/home/claude/writeup/repo/outputs/tables/cedi_crosscheck.csv,"row=raw, col=level_correlation",0.3274
"Cedi cross-check, raw: return corr",/home/claude/writeup/repo/outputs/tables/cedi_crosscheck.csv,"row=raw, col=return_correlation",0.0193
"Cedi cross-check, excl_garbage: level corr",/home/claude/writeup/repo/outputs/tables/cedi_crosscheck.csv,"row=excl_garbage, col=level_correlation",0.9968
"Cedi cross-check, excl_garbage: return corr",/home/claude/writeup/repo/outputs/tables/cedi_crosscheck.csv,"row=excl_garbage, col=return_correlation",0.1762
"Cedi cross-check, excl_garbage: n_common_days",/home/claude/writeup/repo/outputs/tables/cedi_crosscheck.csv,"row=excl_garbage, col=n_common_days",2848
"Cedi cross-check, excl_garbage: days gap>2pct",/home/claude/writeup/repo/outputs/tables/cedi_crosscheck.csv,"row=excl_garbage, col=n_days_gap_gt_2pct",1050
Yahoo garbage print 2020-03-31,/home/claude/writeup/repo/outputs/tables/cedi_crosscheck_disagreements.csv / DECISIONS.md,2020-03-31,yahoo=573.00 vs bog=5.4423
Yahoo garbage print 2016-05-13,DECISIONS.md Stage 0 log,2016-05-13,yahoo=1.00 vs bog=3.81
Crisis date 2020-03-31 resolution,/home/claude/writeup/repo/outputs/tables/cedi_crisis_resolution.csv,row 1,"Yahoo artifact; BoG governs (bog daily move 0.09%, window max 0.20%)"
Crisis date 2020-04-01 resolution,/home/claude/writeup/repo/outputs/tables/cedi_crisis_resolution.csv,row 2,Yahoo artifact; BoG governs
Crisis date 2022-12-16 resolution,/home/claude/writeup/repo/outputs/tables/cedi_crisis_resolution.csv,row 3,"GENUINE move confirmed by BoG within +/-3bd (max daily 15.0%, cumulative -45.0% = appreciation); Yahoo mistimed it"
Cedi zero-return / near-zero share,DECISIONS.md marginal-adequacy note,,22.2% exact-zero daily returns; 38.4% |return|<0.01%
Exports (f.o.b.) raw obs after variable filter,recomputed from data/raw/bog/merchandise_exports_only.csv per 04_integrate_bog.py logic,,"228 obs total (2005-01 to 2023-12), 0 negative values"
Exports literal-zero reporting gap,recomputed from raw BoG file,,"8 months, 2023-05 to 2023-12, masked to NaN"
"Exports valid monthly obs, analysis window (2015+)","recomputed: resample('ME').last() on filtered+masked series, sliced from 2015-01",,"100 obs, 2015-01 to 2023-04"
"CPI headline valid monthly obs, analysis window (2015+)","recomputed: resample('ME').last(), sliced from 2015-01",,"108 obs, 2015-01 to 2023-12"
8 stacked variables in exports file,/home/claude/writeup/repo/outputs/tables/../../DECISIONS.md bugfix note + recomputation,,Merchandise Exports (f.o.b); Trade Balance; Cocoa Beans; Cocoa Products; Crude Oil; Gold; Other Exports; Timber and Timber Products
WTI negative price masked,DECISIONS.md Stage 0,,"2020-04-20 WTI price non-positive, masked (log return undefined)"
Marginal spec retained: Cocoa,/home/claude/writeup/repo/outputs/tables/marginal_garch.csv,row=Cocoa,"spec=AR1-GJR-GARCH-t, nu=6.545, AIC=12628.937, lb_resid_p=0.788, lb_sq_p=0.957, ks_pit_p=0.163, adequate=True"
Marginal spec retained: Gold,/home/claude/writeup/repo/outputs/tables/marginal_garch.csv,row=Gold,"spec=AR1-GJR-GARCH-t, nu=3.95, AIC=7836.491, lb_resid_p=0.594, lb_sq_p=0.119, ks_pit_p=0.186, adequate=True"
Marginal spec retained: Brent,/home/claude/writeup/repo/outputs/tables/marginal_garch.csv,row=Brent,"spec=AR2-GJR-GARCH-t (INADEQUATE — best AIC), nu=4.618, AIC=12892.391, lb_resid_p=0.551, lb_sq_p=0.677, ks_pit_p=0.023, adequate=False"
Marginal spec retained: WTI,/home/claude/writeup/repo/outputs/tables/marginal_garch.csv,row=WTI,"spec=AR1-EGARCH-t, nu=5.381, AIC=13388.777, lb_resid_p=0.559, lb_sq_p=0.348, ks_pit_p=0.068, adequate=True"
Marginal spec retained: Cedi,/home/claude/writeup/repo/outputs/tables/marginal_garch.csv,row=Cedi,"spec=AR1-GJR-GARCH-t (INADEQUATE — best AIC), nu=2.734, AIC=-4996.928, lb_resid_p=0.872, lb_sq_p=1.0, ks_pit_p=0.0, adequate=False"
Full specification ladder search results (all series x all specs tried),/home/claude/writeup/repo/outputs/tables/marginal_spec_search.csv,all 13 rows,"[{'series': 'cocoa', 'spec': 'AR1-GJR-GARCH-t', 'aic': 12628.93688096579, 'lb_resid_p': 0.7878635281342836, 'lb_sq_p': 0.9567316283650614, 'ks_pit_p': 0.1625767004970996, 'adequate_5pct': True, 'error': nan}, {'series': 'gold', 'spec': 'AR1-GJR-GARCH-t', 'aic': 7836.491416825927, 'lb_resid_p': 0.5942206366290312, 'lb_sq_p': 0.1193953792324471, 'ks_pit_p': 0.1858677733160537, 'adequate_5pct': True, 'error': nan}, {'series': 'brent', 'spec': 'AR1-GJR-GARCH-t', 'aic': 12897.660988030588, 'lb_resid_p': 0.6767372873600586, 'lb_sq_p': 0.6652959694764603, 'ks_pit_p': 0.0083517799594509, 'adequate_5pct': False, 'error': nan}, {'series': 'brent', 'spec': 'AR2-GJR-GARCH-t', 'aic': 12892.390701462777, 'lb_resid_p': 0.5506104895740381, 'lb_sq_p': 0.6765384082372206, 'ks_pit_p': 0.0234077880374348, 'adequate_5pct': False, 'error': nan}, {'series': 'brent', 'spec': 'AR1-EGARCH-t', 'aic': 12902.04166019736, 'lb_resid_p': 0.606526401389085, 'lb_sq_p': 0.2747738041318674, 'ks_pit_p': 0.0133816628959309, 'adequate_5pct': False, 'error': nan}, {'series': 'brent', 'spec': 'AR1-GJR-GARCH-skewt', 'aic': nan, 'lb_resid_p': nan, 'lb_sq_p': nan, 'ks_pit_p': nan, 'adequate_5pct': nan, 'error': 'S does not satisfy the bounds requirement of (2.05, 300.0)'}, {'series': 'wti', 'spec': 'AR1-GJR-GARCH-t', 'aic': 13385.164593796626, 'lb_resid_p': 0.7362793800124638, 'lb_sq_p': 0.9703806441094928, 'ks_pit_p': 0.0320178886151581, 'adequate_5pct': False, 'error': nan}, {'series': 'wti', 'spec': 'AR2-GJR-GARCH-t', 'aic': 13378.236487219116, 'lb_resid_p': 0.7059638511028239, 'lb_sq_p': 0.9732659095273192, 'ks_pit_p': 0.0296356984666971, 'adequate_5pct': False, 'error': nan}, {'series': 'wti', 'spec': 'AR1-EGARCH-t', 'aic': 13388.776933420308, 'lb_resid_p': 0.558568020419331, 'lb_sq_p': 0.3483705841475072, 'ks_pit_p': 0.0675877509894132, 'adequate_5pct': True, 'error': nan}, {'series': 'cedi', 'spec': 'AR1-GJR-GARCH-t', 'aic': -4996.927888938328, 'lb_resid_p': 0.8719305028379738, 'lb_sq_p': 0.9999999785208536, 'ks_pit_p': 1.105930275582288e-31, 'adequate_5pct': False, 'error': nan}, {'series': 'cedi', 'spec': 'AR2-GJR-GARCH-t', 'aic': -4953.452793364958, 'lb_resid_p': 0.2539860236515425, 'lb_sq_p': 0.999999969398936, 'ks_pit_p': 1.0950224635664578e-24, 'adequate_5pct': False, 'error': nan}, {'series': 'cedi', 'spec': 'AR1-EGARCH-t', 'aic': 26719.51113972318, 'lb_resid_p': 0.0, 'lb_sq_p': 0.9999999983515084, 'ks_pit_p': 0.0, 'adequate_5pct': False, 'error': nan}, {'series': 'cedi', 'spec': 'AR1-GJR-GARCH-skewt', 'aic': nan, 'lb_resid_p': nan, 'lb_sq_p': nan, 'ks_pit_p': nan, 'adequate_5pct': nan, 'error': 'S does not satisfy the bounds requirement of (2.05, 300.0)'}]"
POT/GPD fit: Cocoa,/home/claude/writeup/repo/outputs/tables/evt_pot_gpd.csv,row=Cocoa,"u(q90)=1.185, xi=0.047, beta=0.616, n_exceed=301, VaR99_resid=2.685, ES99_resid=3.406, hill_gamma=0.316"
POT/GPD fit: Gold,/home/claude/writeup/repo/outputs/tables/evt_pot_gpd.csv,row=Gold,"u(q90)=1.134, xi=0.036, beta=0.694, n_exceed=301, VaR99_resid=2.801, ES99_resid=3.582, hill_gamma=0.321"
POT/GPD fit: Brent,/home/claude/writeup/repo/outputs/tables/evt_pot_gpd.csv,row=Brent,"u(q90)=1.234, xi=0.083, beta=0.675, n_exceed=301, VaR99_resid=2.948, ES99_resid=3.839, hill_gamma=0.33"
POT/GPD fit: WTI,/home/claude/writeup/repo/outputs/tables/evt_pot_gpd.csv,row=WTI,"u(q90)=1.269, xi=0.183, beta=0.572, n_exceed=301, VaR99_resid=2.907, ES99_resid=3.972, hill_gamma=0.306"
POT/GPD fit: Cedi,/home/claude/writeup/repo/outputs/tables/evt_pot_gpd.csv,row=Cedi,"u(q90)=1.62, xi=0.72, beta=1.037, n_exceed=301, VaR99_resid=7.755, ES99_resid=27.264, hill_gamma=0.662"
GPD xi bootstrap CI: Cocoa,/home/claude/writeup/repo/outputs/tables/evt_xi_bootstrap_ci.csv,row=Cocoa,"xi=0.047, 95% CI=[-0.077, 0.15], VaR99=2.685, ES99=3.406"
GPD xi bootstrap CI: Gold,/home/claude/writeup/repo/outputs/tables/evt_xi_bootstrap_ci.csv,row=Gold,"xi=0.036, 95% CI=[-0.104, 0.129], VaR99=2.801, ES99=3.582"
GPD xi bootstrap CI: Brent,/home/claude/writeup/repo/outputs/tables/evt_xi_bootstrap_ci.csv,row=Brent,"xi=0.083, 95% CI=[-0.05, 0.184], VaR99=2.948, ES99=3.839"
GPD xi bootstrap CI: WTI,/home/claude/writeup/repo/outputs/tables/evt_xi_bootstrap_ci.csv,row=WTI,"xi=0.183, 95% CI=[0.045, 0.293], VaR99=2.907, ES99=3.972"
GPD xi bootstrap CI: Cedi,/home/claude/writeup/repo/outputs/tables/evt_xi_bootstrap_ci.csv,row=Cedi,"xi=0.72, 95% CI=[0.524, 0.909], VaR99=7.755, ES99=27.264"
GEV block-maxima shape: Cocoa,/home/claude/writeup/repo/outputs/tables/evt_gev_block_maxima.csv,row=Cocoa,"gev_xi=0.071, loc=1.687, scale=0.588, n_blocks=139"
GEV block-maxima shape: Gold,/home/claude/writeup/repo/outputs/tables/evt_gev_block_maxima.csv,row=Gold,"gev_xi=0.15, loc=1.655, scale=0.621, n_blocks=139"
